"0","","","","","","","","",
,"10","20","50","100","200","500","1000","2000","5000"
"insertionSort","19454","2517","7596","33348","67477","1219066","1035677","1615944","11687292"
"quickSort","4608","14856","13866","81511","58543","178032","200097","3040005","1034695"
"mergeSort","9572","2830","8952","8599","53516","157240","207393","446566","2510513"
"bubbleSort","2510","2472","38311","33627","66847","321261","1135515","4792558","35214514"
"javaSort","31781","3613","11359","25722","29505","34703","108735","172901","2197355"
"","","","","","","","","",
"1","","","","","","","","",
,"10","20","50","100","200","500","1000","2000","5000"
"insertionSort","805","998","1001","1181","1584","1286","3329","3655","12268"
"quickSort","94806","5789","30385","34493","52274","140817","246875","517438","834604"
"mergeSort","10229","2549","46438","16228","59636","49305","144518","506236","2183963"
"bubbleSort","1042","1434","6872","15547","11985","76114","229484","840344","6775556"
"javaSort","882","1568","1684","2723","2578","2111","4491","25829","25439"
"","","","","","","","","",
"2","","","","","","","","",
,"10","20","50","100","200","500","1000","2000","5000"
"insertionSort","851","611","675","1104","1138","888","1637","2666","6443"
"quickSort","30355","4208","29806","23598","52432","121111","241763","790915","870293"
"mergeSort","1825","2377","7357","5127","108851","43848","137298","408929","2442737"
"bubbleSort","19397","1504","6785","8368","11039","75415","241770","878263","6792917"
"javaSort","821","1008","1559","2477","2226","2079","4062","9298","48018"
"","","","","","","","","",
"3","","","","","","","","",
,"10","20","50","100","200","500","1000","2000","5000"
"insertionSort","107924","620","857","1128","870","906","2901","2467","6636"
"quickSort","34289","4131","12301","29770","62910","137316","208790","848300","912679"
"mergeSort","48673","2333","6062","4493","12074","47362","133819","391457","2176428"
"bubbleSort","11913","1420","11770","24822","11696","63841","237356","876628","6159507"
"javaSort","4513","1093","1573","2489","2224","17393","4100","14582","47295"
"","","","","","","","","",
